row_label,col_1,col_2
Total number of cases closed before issuance of complaint,470,100 0
Agreement of the parties-Informal settlement:,178,37.9
Before 10(k) notice,153,326
"After 10(k) notice, before opening of 10(k) hearing_",16,34
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",9,1.9
Compliance with Board decision and determination of dispute,37,7.9
Withdrawal'__,188,400
Before 10(k) notice,174,37.0
"After I0(k) notice, before opening of 10(k) hearing",8,17
After Board decision and determination of dispute,6,1.3
Dismissal',67,142
Before 10(k) notice,,0.2
"After 10(k) notice, before opening of 10(k) hearing",61,130
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",1,1.0
By Board decision and determination of dispute,0 5,
