Category,Number
Total Board decisions,1995
Contested decisions,1217
Unfair labor practice decisions,849
Initial (includes those based on stipulated record),773
Supplemental,6
Backpay,36
Determinations in jurisdictional disputes,34
Representation decisions,369
After transfer by Regional Directors for initial decision,20
After review of Regional Director decisions,60
On objections and/or challenges,281
Other decisions,7
