Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by employers — Number,Cases filed by employers — Number of workers involved
By consent election,11,3174,5,1219,5,1929,1,26,,
Cases dismissed,4,465,3,61,1,400,,,,
Cases withdrawn,8,418,5,115,2,537,2,,,
Cases closed after Board decision,715,427797,270,205341,330,192858,94,26977,12,2621
Cases closed after Board decision: Cases closed by certification,518,383576,198,197812,202,158068,59,24158,9,3508
Cases closed after Board decision: Cases dismissed,180,42227,66,7322,76,32873,35,1919,3,113
"Cases pending, July 1, 1941",1383,533861,654,143295,504,305921,203,81428,21,3147
