Action taken,Total all,Remedial action taken by — Employer — Total,Remedial action taken by — Employer — Pursuant to — Agreement of parties — Informal settlement,Remedial action taken by — Employer — Pursuant to — Agreement of parties — Formal settlement,Remedial action taken by — Employer — Pursuant to — Recommendation of administrative law judge,Remedial action taken by — Employer — Pursuant to — Order of — Board,Remedial action taken by — Employer — Pursuant to — Order of — Court,Remedial action taken by — Union — Total,Remedial action taken by — Union — Pursuant to — Agreement of parties — Informal settlement,Remedial action taken by — Union — Pursuant to — Agreement of parties — Formal settlement,Remedial action taken by — Union — Pursuant to — Recommendation of administrative law judge,Remedial action taken by — Union — Pursuant to — Order of — Board,Remedial action taken by — Union — Pursuant to — Order of — Court
,11752,,,,,,,,,,,,
Notice posted,1907,1596,1285,5,81,101,124,311,209,2,12,10,18
Employees offered reinstatement,1299,1299,1151,5,29,45,71,,,,,,
Collective bargaining begun,2643,2529,2415,4,21,35,54,114,106,1,1,3,3
Backpay distributed,2075,2031,1857,6,38,52,78,44,36,0,5,3,0
"Employees offered reinstatement, total (Section B)",3496,3496,3054,0,44,195,203,,,,,,
