Types of formal actions taken,Cases on which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD Jurisdictional disputes,Formal actions taken by type of case / CD Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases
10(k) notices of hearings issued,21,20,,,,20,,,,,,
Complaints issued,1472,1106,869,92,32,,,1,2,4,8,85
Backpay specifications issued,23,14,,,,,,,,,,12
"Hearings completed, total",478,340,241,33,10,1,0,1,3,1,15,4
Hearings completed,,,,,,,,,,,,
"Decisions by administrative law judges, total",322,246,186,18,4,,,1,0,2,14,3
ALJ decisions,,,,,,,,,,,,
"Decisions and orders by the Board, total",345,249,183,28,11,,,9,,,5,4
Board decisions,,,,,,,,,,,,
