row_label,col_1,col_2,col_3,col_4
Proceedings under sec. 10 (j) (a) Against unions (b) Against employers Proceedings under sec. 10 ( 1),4 1_ 24,13 0 - '11,0 0 '4,"1 pending 1,settled 3 settled 3 inactive 1 withdrawn 4 2 pending"
Totals,29,14,4,11
Proceedings under sec. 10 (1) instituted during preceding fiscal year concluded in current year.,0,2,'1,10
