Size of unit (number of employees),Number eligible to vote,Total elections / Total elec-tions,Cumulative percent of total,Percent of total,A. Certification elections (RC and RM) / Elections in which representation rights were won by / AFL-CIO unions number,A. Certification elections (RC and RM) / Elections in which representation rights were won by / AFL-CIO unions percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Teamsters number,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Teamsters percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Other national unions number,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Other national unions percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Other local unions number,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Other local unions percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Total number,A. Certification elections (RC and RM) / Elections in which representation rights were won by / Total percent by size class,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent by size class
Total RC and RM elections,433807,6656,100.0,100.0,1866,100.0,829,100.0,123,100.0,201,100.0,,,3637,100.0
Under 10,6234,1432,22.0,21.5,615,32.0,227,27.0,53,43.0,42,20.8,,,656,18.0
