row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
New England,974,264,6.2,710,6.8,- -8.0,+2.5
Maine,74,13,.3,81,.6,-81.6,+17.3
New Hampshire,48,8,.2,38,.3,-60.0,-24.0
Vermont,39,9,.2,80,.3,-10.0,+15.4
Massachusetts,558,170,4.0,386,3.8,+15.6,+6.6
Rhode Inland,78,20,. 5,58,.5,-28.6,-12.1
Connecticut,181,44,1.0,137,1.3,-30.2,.0
Middle Atlantic,3302,1059,25.0,2243,21.0,+25.8,+20.6
New York,1786,642,15.2,1144,10.7,+26.1,+14.7
New Jersey,829,207 210,4.9,422,4.0 6.3,-1-48.9 +8.2,+32.7 +24.2
Pennsylvania,887,,4.9,877,,,
East North Central,3016,836,19.7,2181,20.4,-10.4,+18.9
Ohio,868,241,5.7,827,8.9,-15.1,+5.6
Indiana,444,98,2.3,346,3.2,-14.8,+20.7
Illinois,1006,280,6.6,726,6.8,-4.1,-1-35.4
Michigan,575,181,4.3,394,3.7,.0,+24.7
Wisconsin,123,35,.8,88,.8,-41.7,-24.1
West North CentraL.,1056,293,6.9,783,7.2,+5.4,-1-33.9
Iowa,201,ea,1.5,138,1.3,+41.3,+54.5
Minnesota,179,43,1.0,136,1.8,-8.5,+52.8
Missouri,428,125,2.9,303,2.8,-2.3,+12.2
North Dakota,20,4,.1,16,.2,+33.3,+128.6
South Dakota,21,3,.1,18,.2,.0,+350.0
Nebraska,82,24,. 6,as,.5,-11.1,.0
Kansas,125,29,.7,98,.9,+20.8,+77.8
loath Atlantlo,1822,,,,,,
,,511,12.1,1811,12.3,+24.0,+48.6
Delaware,31,8,.1,25,.2,-25.0,+150.0
Maryland,200,64,1.5,136,1.3,-16.9,-1.4
District of Columbia,89,44,1.0,45,.4,+109.5,-1-4.7
Virginia,347,97,2.3,250,2.3,+120.5,+73.6
West Virginia,179,43,1.0,136,1.3,-4.4,-24.0 +115.8
North Carolina,343,84,2.0,259,2.4,+55.6,
South Carolina,100,37,.9,83,.6,+37.0,+96.9
(13,319,101,2.4,218,2.1,+7. 4,+56.8
Florida,214,35,.9,179,1.7,-16.7,+132.5
