Division and State 1,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Representation cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,RD
Total,21487,11357,7723,2305,644,186,26,273,10130,8795,728,607
New England,975,474,364,67,20,3,1,10,501,440,36,25
Maine,,,,,,,,,,,,
Middle Atlantic,4693,2710,1722,690,153,49,8,83,2183,1803,153,127
East North Central,4648,2439,1758,502,88,33,3,55,2209,1926,149,134
West North Central,1437,655,423,142,37,17,2,16,782,675,59,48
South Atlantic,2596,1485,1111,231,94,27,1,22,1110,1011,48,51
"Remaining 3 divisions (East South Central, West South Central, Mountain, Pacific) + Outlying",,,,,,,,,,,,
