row_label,1935-36,1936-37,1937-38,1938-39,1939-40,1940-41
"Cases pending, July 1",,330,2202,3778,4113,2911
Cases received during year,1068,4068,10430,6904,6177,9151
Cases on docket during year,1068,4398,12632,10682,10290,12062
Cases closed during year,738,2344,8851,6569,7354,8396
"Cases pending, June 30",330,2054,3781,4113,2936,3666
