row_label,col_1,col_2,col_3
"Mooremack Gulf Lines, Inc","Mar. 20,1939","Aug. 18, 1939",(9
Morrison Motor Freight Co,"June 10, 1940","June 13, 1940",(1)
,"Aug. 21, 1939","Aug. 24, 1939",Aug. 1939
Motion Picture Producers &Distributors Association et al,do,do,"23, Do."
Motion Picture Producers &Distributors Association,do,do,Do.
"Motion Picture Producers, etc., Columbia Pictures",do,do,Do.
"Motion Picture Producers, etc., Paramount Pictures",do,do,Do.
"Motion Picture Producers, etc., RKO Pictures",do,,Do.
"Motion Picture Producers, etc., Hal Roach Studios",,do,
"Motion Picture Producers, etc., United Artists",do,do,Do.
"Motion Picture Producers, etc., Universal",do,do,Do.
"Motion Picture Producers, etc., Warner Bros",do,do,Do.
Muncie Foundry Co,"Nov. 27, 1939","Nov. 28, 1939","Jan. 16, 1940"
"Muskin Shoe Co., The","do June 14, 1940","do June 14, 1940",Do. (1)
Muncie Foundry Co. (Division of Borg-Warner),,,
"McAlbert Oil, Inc., and D. B. McDaniel Drilling Corpora- tion","Sept. 22, 1938","Sept. 27, 1938","Mar. 22, 1940"
"McCormick Steamship Co McCormick Steamship Co., agent Pacific, Argentine-Brazil","May 6, 1940","May 6, 1940",(2)
Line,do,do,(1)
McWane Cast Iron Pipe Co,"Dec. 4, 1939","Dec. 6, 1939","Jan. 15, 1940 Mar. 11, 1940"
"James McWilliams Blue Line, Inc","Feb. 13, 1940","Feb. 13, 1940",
National Battery Co National Distillers Products Corporation,"Nov. 13, 1939 Jan. 15,1940","Nov. 21, 1939 Jan. 15,1940","Feb. 16,1940"
"National Dress Manufacturers Association, Inc","May 2,1940",,
"National Mineral Co Nebel Knitting Co., Inc","May 23,1940 May 9, 1940","May 24, 1940 May 9, 1940",May g240940
,,"June 22, 1940",
Nebraska Power Co.,"June 17,1940 May 22, 1940","May 22, 1940","June 10, 1940"
Neo-Gravure Co. of Chicago Nevada-California Electric Corporation,"Nov. 17, 1939","Nov. 17, 1939","Feb. 1, 1940"
New England Overall Co,,"May 28,1940",(1)
,"May 27, 1940","A,pr. 23, 1940",(1)
"New Idea, Inc","Apr. 22, 1940",,
New York &Cuba Mail Steamship Co,"Mar. 22,1940",,
New York di Porto Rico Steamship Co Newark Rivet Works,do,"Nov. 2, 1939","3) 1 Dec. 21, 1939"
,"Oct. 24,1939","Feb. 5, 1940",
North American Rayon Corporation,"Feb. 5,1940",,"Apr. 8, 1940 June 29,1940"
"0. K. Storage dr Transfer Co., Inc Oakes Manufacturing Co., Inc","Mar. 18, 1940 June 6, 1940","Mar. 18.1940 June 6,1940","Dec. 29,1939"
"Old Mission Packing Corporation, Ltd","Nov. 24, 1939 June 10,1940","Nov. 24, 1939 June 13,1910",(2)
Overland Transportation Co Pacific Felt Co,"Mar. 21,1940","Mar. 22,1940 Apr. 15,1940","Apr. 19,1940 May 24, 1940"
Pacific Gas Heating Co Do,"Apr. 15, 1940 do..",do,Do.
Pacific Telephone &Telegraph Co Emil J. Paidar Co,"Jan. 11, 1940 May 20,1940","Jan. 19, 1940 May 21, 1940","Apr. 27,1940 June 7, 1840"
,,"Nov. 18,1939",
Palmer Bee Co,"Nov. 16,1939",,(2)
"Do Pamfftne Companies, Inc., The","do Jane 26,1940","do June 27, 1840",25))
Do,,do,(2)
"Paramount Pictures, Inc","do Aug. 21, 1939","Aug. 24,1939","Aug. 28,1939 Do."
Do Do,do do,do do,Do.
,,,Do.
"Paramount Pictures, Inc., et al",do,do,Do.
Do,"do July 31, 1939","do Aug. 1, 1939","Sept. 1,1939"
Park Drug Co Park Floral Co,"Sept. 12, 1939","Sept. 12,1939","Jan. 11,1940"
"Payne Furnace dr Supply Co., Inc","Feb. 1,1940","Feb. 5, 1940","Mar. 20, 1940"
"Peerless of America, Inc","June 25,1940","June 25,1940",
Pelican Bay Lumber Co,Feb. 8.1940,"Feb. 8, 1940","May 7, 1940"
Pennsylvania &Lake Erie Dock Co,"Oct. 27,1939","Oct. 30, 1939","Nov. 6,1939"
Peoria Cordage Co,"June 13,1940","June 13, 1940",
Perry Truck Lines,"June 10, 1940","June 10, 1910","Nov. 22, 1939"
,,"Oct. 30, 1939",
Pick Mfg. Co Pickands-Mather &Co. and Verona Mining Co,"Oct. 30,1939","June 10,1940",(1)
Do,"June 10, 1940",do,(2)
,do.,"Feb. 5, 1940","Mar. 11,1940"
Portland Iron Works,"Feb. 5,MO May 23,1940","May 24,1940","June 27,1940"
"Precision Castings Co., Inc",,,"Sept. 16, 1939"
"Princely Products, Inc","Aug. 21, 1939","Aug. 21,1939",
Pure Oil Co,"Nov. 5, 1939","Nov. 5,1939",
,,,(9
