Stage of movement,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
ALL CASES — section subheader,,,,,,,
"All cases — Pending July 1, 1966",9400,4446,1152,366,351,1902,1183
All cases — Received fiscal 1967,30425,12296,4807,1053,1092,6971,4206
All cases — On docket fiscal 1967,39825,16742,5959,1419,1443,8873,5389
All cases — Closed fiscal 1967,29494,11934,4696,1075,1013,6621,4155
"All cases — Pending June 30, 1967",10331,4808,1263,344,430,2252,1234
UNFAIR LABOR PRACTICE CASES — section subheader,,,,,,,
"ULP — Pending July 1, 1966",6658,2905,616,204,254,1754,925
ULP — Received fiscal 1967,17040,5349,1543,408,486,6206,2988
ULP — On docket fiscal 1967,23698,8254,2159,612,740,7960,3913
ULP — Closed fiscal 1967,16360,5198,1494,409,523,5865,2917
"ULP — Pending June 30, 1967",7338,3056,665,203,217,2095,996
REPRESENTATION CASES — section subheader,,,,,,,
"Rep — Pending July 1, 1966",2659,1516,535,160,91,113,244
Rep — Received fiscal 1967,12957,6228,3251,574,582,634,1140
Rep — On docket fiscal 1967,15616,8292,3786,734,673,747,1384
Rep — Closed fiscal 1967,12774,6679,3192,597,574,620,1162
"Rep — Pending June 30, 1967",2892,1713,594,137,99,127,222
"UD — Pending July 1, 1966",35,,,,,35,
UD — Received fiscal 1967,125,,,,,125,
UD — On docket fiscal 1967,160,,,,,160,
UD — Closed fiscal 1967,132,,,,,132,
"UD — Pending June 30, 1967",28,,,,,28,
"AC — Pending July 1, 1966 (Amendment of Certification cases)",14,8,1,0,0,2,3
AC — Received fiscal 1967,86,44,12,1,5,0,24
AC — On docket fiscal 1967,100,52,13,1,5,2,27
AC — Closed fiscal 1967,81,43,11,1,2,2,22
"AC — Pending June 30, 1967",19,9,2,0,3,0,5
"UC — Pending July 1, 1966 (Unit Clarification cases)",34,17,0,0,2,0,11
UC — Received fiscal 1967,217,127,12,6,16,6,50
UC — On docket fiscal 1967,251,144,12,6,18,6,61
UC — Closed fiscal 1967,197,114,11,5,14,4,48
"UC — Pending June 30, 1967",54,30,1,1,4,2,13
