row_label,All R elections — Total elections,All R elections — Withdrawn or dismissed,All R elections — Rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed,RC elections — Rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed,RM elections — Rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed,RD elections — Rerun or runoff,RD elections — Resulting in certification
All types,5268,18,134,5116,4153,16,106,4031,233,2,13,215,882,0,13,869
Consent elections,169,1,4,164,114,1,3,110,7,0,0,7,48,0,1,47
Stipulated elections,4058,10,90,3958,3195,8,74,3113,155,2,9,144,708,0,7,701
Regional director-directed,904,3,28,873,736,3,20,713,59,0,5,54,109,0,3,106
Board-directed,64,4,11,49,54,4,8,42,3,0,1,2,7,0,2,5
Expedited—see 8(b)(7)(C),73,0,1,72,54,0,1,53,9,0,0,9,10,0,0,10
