Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,38041,100.0,,27454,100.0,8324,100.0,1420,100.0,370,100.0,90,100.0,40,100.0,343,100.0
Agreement of the parties,10632,27.9,100.0,8539,31.1,1315,15.7,624,43.9,8,2.1,34,37.7,19,47.5,93,27.1
Informal settlement,10410,27.4,97.9,8366,30.4,1278,15.3,614,43.2,6,1.6,34,37.7,19,47.5,93,27.1
Before issuance of complaint,6533,17.2,61.4,5129,18.6,854,10.2,450,31.6,5,,17,18.8,15,37.5,68,19.8
"After issuance of complaint, before opening of hearing",3803,10.0,35.8,3185,11.5,413,4.9,156,10.9,6,,16,,4,10.0,25,7.2
"After hearing opened, before issuance of administrative law judge's decision",74,0.2,0.7,55,0.2,11,0.1,8,0.5,0,0,0,0,0,0,0,0
Formal settlement,222,0.6,2.1,173,0.6,37,0.4,10,0.7,2,0.5,0,0,0,0,0,0
Compliance with,978,2.6,100.0,839,3.0,101,1.2,19,1.3,6,,4,4.4,1,2.5,8,2.3
