Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,15,9,60.0,6,40.0,1966,202,10.3,1764,89.7,1514,77.0,180,9.2
AFL-CIO,13,8,61.5,5,38.5,481,195,40.5,286,59.5,416,85.5,173,36.0
Unaffiliated,2,1,50.0,1,50.0,1485,7,0.5,1478,99.5,1098,73.9,7,0.5
