Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by individuals — Number,Cases filed by individuals — Number of workers involved
Cases closed by compliance with intermediate report,19,4544,10,2504,7,1250,,,2,790
Cases closed after Board decision,140,71631,49,18474,80,49047,8,2610,3,1500
Cases closed after Board decision: Cases dismissed,38,20371,9,8424,27,10447,,,2,1500
Cases closed after Board decision: Cases withdrawn,3,,,,,,,,,
Cases closed after Board decision: Cases closed by compliance,79,41712,33,5850,42,35454,4,399,,
Cases closed after Board decision: Cases closed otherwise,20,9541,6,4184,11,3146,3,2211,,
Cases closed after court action,232,135613,89,28522,138,106242,5,849,,
"Cases pending, June 30, 1941",2283,1318189,904,279175,1145,822498,53,106126,179,109840
