row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,136,100.0,1096,100.0
Board orders enforced in full_ _,73,53.7,654,59.7
Board orders enforced with modification,21,15.4,246,22.4
Remanded to Board_,5,3.7,23,2.1
Board orders partially en- forced and partially re- manded,3,2.2,,.3
Board orders set aside,*26,19.1,3 157,14.3
Board orders set aside be- cause of noncompliance with sec. 9 (h)-by complaining union's parent federation_ _,8,5.9,13,1.2
