row_label,col_1,col_2,col_3
Hearings completed,118,6,97
Decisions issued after hearing,131,9,115
By regional directors,128,9,113
By Board,3,0,2
Transferred by regional directors for,,,
initial decision,3,0,2
Review of regional directors' decisions Requests for review received Withdrawn before request ruled upon,17 0,4 0,9
"Board action on requests ruled upon,",17,,0
total,,4,9
Granted,4,2,2
Remanded,,,5
Denied,10,1,
"Withdrawn after request granted, Board review",3,1,2
,,0,
before,0,,0
"Board decision after review, total Regional directors' decisions",0,0,0
Affirmed,,,0
Modified Reversed,0 0,0,0 0
,0,0 0,
