row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO..........................................,2989,47.8,1428,1424,4,,1561,215707,98680,98650,30,,117027
Other local unions..............................,102,65.7,67,,,67,35,11498,5547,,,5547,5951
Other national unions........................,114,56.1,64,,64,,50,8801,4892,,4892,,3909
1-union elections..........................,3205,48.6,1559,1424,68,67,1646,236006,109119,98650,4922,5547,126887
National v. Local..............................,8,87.5,7,,4,3,1,951,533,,307,226,418
AFL-CIO v. Local............................ Local v. Local....................................,39 4,79.5 100.0,31,23,,8,8,10553,"3,771 197",2828,,943 197,"6,782 0"
AFL-CIO v. National........................,22,86.4,4 19,-- 10,-- 9,4 --,0 3,"197 2,502",2173,-- 860,,,329
National v. National..........................,2,100.0,2,,2,,0,107,107,,"1,313 107",,0
AFL-CIO v. AFL-CIO......................,82,73.2,60,60,,,22,7932,4393,4393,,,3539
2-union elections..........................,157,78.3,123,93,15,15,34,22242,11174,8081,1727,1366,11068
AFL-CIO v. Local v. Local..............,1,100.0,1,0,,1,0,46,46,0,,46,0
Local v. Local v. Local......................,1,100.0,1,,,1,0,94,94,,,94,0
AFL-CIO v. AFL-CIO v. AFL-CIO..,4,25.0,1,1,,,3,1146,92,92,,,1054
3 (or more)-union elections..........,6,50.0,3,1,0,2,3,1286,232,92,0,140,1054
Total representation elections........,3368,50.0,1685,1518,83,84,1683,259534,120525,106823,6649,7053,139009
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
AFL-CIO,2621,49.4,1295,1291,4,,1326,195042,86018,85988,30,,109024
Other local unions..............................,88,72.7,64,,,64,24,9971,5413,,,5413,4558
Other national unions........................,97,62.9,61,,61,,36,7409,4217,,4217,,3192
1-union elections..........................,2806,50.6,1420,1291,65,64,1386,212422,95648,85988,4247,5413,116774
National v. Local..............................,8,87.5,7,,4,3,1,951,533,,307,226,418
AFL-CIO v. Local............................,39,79.5,31,23,,8,8,10553,3771,2828,,943,6782
Local v. Local....................................,4,100.0,4,,,4,0,197,197,,,197,0
AFL-CIO v. National........................,22,86.4,19,10,9,,3,2502,2173,860,1313,,329
