row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
g .. 3 .,8 2 .,"1 m zr• r,,gtii ow w",2 m,"Mp.25 .,w,","g ,","to- . 2W22 .,..",",_, _ . '"" .","""EV' It . ■.1 06",so = A 6 .,"g' 4'' -,. o."
!2. E,g 5t5,P 8,P 2ta g §,r.o .g rEiEsa,R,".... -- . g ..,_.",2-',"g "" m ..,",,&EH§
- P,.0,. t g,00. .,"g aa. g 8t,",", E",mgga,2 cp,"rL' 8 V :rp .....,",- .1: ..,"rt .'. .t '. g Z ,......."
-.. .,Co Co to,E,. ZWogg . t,Z/00t0WC7 . 7,,. 88'6'2,§,5 g zit,E,"En08, -t"
. 8,® o®,. 2 .-0,c 4.- w . 8,a5g5t..a,. 2,g .n.,,.. n g,. g,"64.1"".....,g"
. 5e,. 0.,,"..tr,. t","..z""....",0,"t.,11.",Co,"....,tz",g,"sa...r,5"
s,0 00,8,.00 .,00....00,CO,0000,4:,00.CS,0,N0000
§,a Oa,g,ONSWO 8,NW+abi.:0.a,g,=1.0.,. a,N OM°.,a .,N
"17. , .",0,.!' m,-.. W0a a a,"00,7:/eA gg",0,24-.8r.p,a,"2""HE",E,gEgEg
N,"g ,N ow",V w,"'gagt= 05 .., .",.4-mwV4.o.. .........,", 0",''g4:8 W.,a,.N. gtg,a g,. W.M H MW.
.' M,. . O.,W =,WM.. .. ■4 .,. WW-.1.WW,W .,. g 0pgs 0,4,....50.2,g,. 8 .0...
-4 2,r; . cp.,8 .,. ..SM. 8,NaW0ZON8,g,S0to fl,,aN-arz,g,W-7MVW
g m,Ow,t,".08,4a, .",000..0.w,0,0000,CO,00010,a,0000N
2,a 00!,5,00=1N0 Co,0W0.00N00,ro ',Wo.a,-7,ONA• .,a,.00..
8 .-,0 00,g,N0 e7 4. -4 Co,..W0..N0,,210.44■N,0,NIAWO,".-, 17.",to 0a
