Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"13-CC-174, 179","Sheet Metal Workers, Local 303, et al. (Meyers Plumbing Corp.)","July 31, 1958",10 (l),,,,,"Dec. 19, 1958","Dismissed 13-CC-174-179, settled 13-CC-179. Dismissed."
15-CD-9,"Teamsters, Local 5 (Stone & Webster Engineering Corp.)","Aug. 4, 1958",10 (l),,,,,"Feb. 20, 1959",
4-CC-103,"Teamsters, Local 107 (Virginia-Carolina Freight Lines Inc.)","Aug. 5, 1958",10 (l),,,,,,"Apr. 2, 1959"
Additional case rows present,,,,,,,,,
