row_label,Participating unions,Total valid votes cast,Votes won Total,Votes won AFL-CIO,Votes won Teamsters,Votes won Other national,Votes won Other local,Votes won No union,Votes lost Total,Votes lost AFL-CIO,Votes lost Teamsters,Votes lost Other national,Votes lost Other local,Votes lost No union
Section A tail 3-or-more,,,,,,,,,,,,,,
Total RC elections,452526,228126,146400,26492,26135,54430,62910,50652,8000,3310,948,117000,,
1-union elections (subtotal),316264,103463,84067,13059,4232,2105,47221,57960,47474,7668,2261,557,107620,
1-union,,,,,,,,,,,,,,
2-union elections (subtotal),120131,99830,51400,11443,22503,14444,6019,4553,3104,298,1023,435,9189,
2-union,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),26131,24793,11032,2212,1418,10131,996,97,74,14,,9,204,
3-or-more union,,,,,,,,,,,,,,
