row_label,Industrial group,Total elections,Number of elections in which rights were won by unions — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible employees
Mining,30,13,9,4,0,0,17,1331,493,,,,,,362,156
Construction,81,42,32,8,1,0,39,8729,3330,2650,511,,,,3299,4134
Retail trade,270,75,24,18,,,195,,,,,,,,,
"Transportation, communication, and other public utilities TOTAL",633,281,119,148,5,11,352,33872,20433,13521,6378,,,237,13439,15684
Health services,392,213,85,22,,,179,,,,,,,,,
Business services,244,,,,,,,,,,,,,,,
