Division and State,Number of elections / Total,Number of elections / In which representation rights were won by — A F L affiliates,Number of elections / In which representation rights were won by — C I O affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — / A F L affiliates,Valid votes cast for — / C I O affiliates,Valid votes cast for — / Unaffiliated unions,Valid votes cast for — / No union,Employees in units choosing no representation
South Atlantic,488,197,108,14,169,54074,47681,12532,15795,2519,17035,34749
Delaware,11,6,3,0,2,2963,2622,921,1300,219,182,1033
Maryland,56,25,14,4,13,6055,5189,1272,1930,1167,824,4229
District of Columbia,40,25,9,1,5,1925,1275,624,230,5,418,815
Virginia,76,32,18,1,25,14381,12556,4705,1996,89,5051,7375
West Virginia,56,21,23,1,11,5104,4799,1032,1637,114,1418,2008
North Carolina,110,35,18,3,64,11376,9909,1824,5022,0,3063,7063
South Carolina,36,5,4,0,22,5138,4338,184,1355,0,1651,3460
Georgia,87,35,20,6,32,6037,4902,1425,1477,170,1705,3810
Florida,103,39,16,3,50,4917,4131,1675,1283,270,1725,3008
East South Central,318,119,73,14,112,37824,34303,7686,12072,3900,10156,26674
Kentucky,93,44,9,5,35,9600,8416,1824,3267,1823,1842,7716
Tennessee,119,34,23,3,39,11296,10062,3367,3243,856,2584,6712
Alabama,75,35,9,0,30,12242,11184,1932,4256,0,4996,8734
Mississippi,31,6,6,8,8,4686,4384,583,1309,1221,734,3512
West South Central,565,278,107,20,160,49772,43607,17753,1,1125,12729,35466
Arkansas,83,49,10,3,21,9096,7766,2963,1460,103,1723,5131
Louisiana,98,50,19,8,21,8754,7463,3460,1649,656,1693,5531
Oklahoma,93,54,8,0,31,8904,8527,3621,1283,0,1742,5624
Texas,291,125,70,9,87,21907,19851,7701,2242,366,7557,10000
Mountain,281,159,40,11,71,14868,13015,6058,2109,1135,3123,11603
Pacific,820,428,145,39,208,81177,64746,31365,17241,4326,11014,68332
Outlying areas,182,72,26,3,81,12256,10316,2200,1443,2300,1948,9000
