Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"9-CC-94, 9-CD-29","AFL-Carpenters, Falls Cities Carpenters' District Council, Local 64 (General Electric Co.)","April 2, 1957",10 (l),,,,,,Settled
13-CC-131,"AFL-Teamsters, General Chauffeurs, Sales Drivers and Helpers Union, Local 432 (Joe Daniels Forum of America)","April 11, 1957",10 (l),,,,,,Settled
"7-CC-55, 7-CD-30","AFL-Plumbers, Local 388 (Detroit Edison Co. and Westinghouse Electric Corp.)","April 12, 1957",10 (l),,,"May 9, 1957",,,
"39-CC-34, 39-CD-24, 38, 30, 7-CC-29, 11-CC-31, 35-39-CD-24, 38, 30","AFL-Engineers, Operating, Local 450 (The Austin Co., et al.)","April 16, 1957",10 (l),,,"May 17, 1957",,,
Additional case rows present,,,,,,,,,
