Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD — Jurisdictional disputes,Formal actions taken by type of case / CD — Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Other C combinations
10(k) notices of hearing,35,27,,,,27,,,,,,,
Complaints issued,1701,1108,951,104,9,,,2,1,,4,16,5
Backpay specifications issued,75,35,31,3,,,,,,,,0,0
"Hearings completed, total",350,169,,17,1,0,1,0,1,0,2,7,0
  Initial ULP hearings,326,185,156,17,1,0,1,0,1,0,2,7,0
  Backpay hearings,0,0,0,0,0,0,0,0,0,0,0,0,0
  Other hearings,24,13,13,0,0,0,0,0,0,0,0,0,0
"Decisions by administrative law judges, total",359,188,150,21,1,0,2,1,0,0,4,9,0
  Initial ULP decisions,327,169,135,19,0,0,2,1,0,0,3,9,0
  Backpay decisions,2,1,1,0,0,0,0,0,0,0,0,0,0
  Supplemental decisions,30,18,14,2,1,0,0,0,0,0,1,0,0
"Decisions and orders by the Board, total",742,316,259,23,4,6,0,2,0,2,4,11,5
"  Upon consent charges, total",77,19,11,1,1,0,0,0,0,0,1,0,5
    Initial decisions,4,2,2,0,0,0,0,0,0,0,0,0,0
"  Adopting administrative law judges' decisions (no exceptions filed), total",92,49,41,5,0,0,1,0,0,0,1,1,0
    Initial ULP decisions,7,4,4,0,0,0,0,0,0,0,0,0,0
    Supplemental decisions,1,1,1,0,0,0,0,0,0,0,0,0,0
"  Contested, total",410,191,157,14,2,6,0,1,0,1,1,4,7
    Initial ULP decisions,1,1,1,0,0,0,0,0,0,0,0,0,0
    Decisions based on stipulated record,87,35,30,3,0,0,0,0,0,0,0,2,0
    Backpay decisions,63,14,13,0,0,0,0,0,0,0,0,1,0
