Location of regional office,All cases,Unfair labor practice cases / Total,Unfair labor practice cases / NLRA C,Unfair labor practice cases / LMRA C,Representation cases / Total,Representation cases / NLRA R,Representation cases / LMRA R,Union authorization cases
Total,36735,3598,296,3302,7038,643,6395,26099
Boston,3039,286,17,269,638,48,590,2115
New York,5190,625,30,595,689,49,640,3876
Buffalo,968,85,3,82,169,5,164,714
Philadelphia,1510,139,8,131,264,29,235,1107
Baltimore and subregions,1301,219,14,205,385,47,338,697
Pittsburgh,1056,133,10,123,221,14,207,702
Detroit,1895,131,14,117,333,21,312,1431
Cleveland,1555,99,10,89,255,33,222,1211
Cincinnati and subregion,1866,164,16,148,406,45,361,1296
Atlanta,790,304,20,284,376,39,337,110
Chicago and subregion,2783,272,19,253,420,41,379,2091
St. Louis,2601,125,14,111,414,23,391,2062
New Orleans and subregion,667,118,12,106,248,28,220,301
Fort Worth and subregion,743,119,14,105,351,58,293,273
Kansas City and subregion,1975,90,18,72,376,25,351,1509
Minneapolis,1458,69,8,61,223,12,211,1166
Seattle and subregion,2821,187,11,176,359,32,327,2275
San Francisco,1863,181,29,152,319,34,285,1363
Los Angeles and subregion,2644,352,29,323,592,60,532,1700
