Standard Federal Regions,All cases,All C,Unfair labor practice cases - CA,Unfair labor practice cases - CB,Unfair labor practice cases - CC,Unfair labor practice cases - CD,Unfair labor practice cases - CE,Unfair labor practice cases - CG,Unfair labor practice cases - CP,Representation cases - All R,Representation cases - RC,Representation cases - RM,Representation cases - RD,Union deauthorization cases - UD,Amendment of certification cases - AC,Unit clarification cases - UC
Region I (summary placeholder),3015,2292,1784,400,71,19,2,0,4,566,528,32,6,17,5,27
Region II (summary placeholder),7406,5451,3727,1373,196,57,12,1,61,1705,1567,71,67,34,6,140
Region III (summary placeholder),5878,4447,3302,942,150,33,6,0,60,1060,995,39,26,17,4,126
Region IV (summary placeholder),6228,5009,4013,760,160,36,11,2,27,1074,991,41,42,1,2,142
