Method and stage of disposition,All cases — Number,All cases — Per cent of total cases closed,CA cases — Number,CA cases — Per cent of total method,CB cases — Number,CB cases — Per cent of total method,CC cases — Number,CC cases — Per cent of total method,CD cases — Number,CD cases — Per cent of total method,CE cases — Number,CE cases — Per cent of total method,CG cases — Number,CG cases — Per cent of total method,CP cases — Number,CP cases — Per cent of total method
Administrative law judge's decision — Board decision,20,0.1,12,0.1,5,0.1,0,,0,,0,,0,,3,1.5
Adopting administrative law judge's decision (no exceptions filed),541,1.7,468,2.0,49,0.6,10,1.1,1,0.4,5,3.4,1,3.2,3,1.5
Contested,213,0.7,171,0.8,27,0.3,11,1.2,0,,2,1.4,0,,2,1.0
After Board or court order — Adopting administrative law judge's decision (no exceptions filed),328,1.0,418,1.8,259,1.1,57,0.6,0,1.0,1,1.4,0,,3,1.5
Circuit court of appeals decree,222,0.7,200,0.8,14,0.1,2,0.7,0,,1,0.7,0,,2,1.0
Supreme Court action,2,,0,,2,,0,,0,,0,,0,,0,
Withdrawal,10270,31.4,7541,33.0,2372,28.2,256,27.3,0,,21,14.6,8,25.8,72,37.3
Withdrawal — Before issuance of complaint,9943,30.4,7267,31.8,2318,27.7,248,26.4,0,,21,14.6,8,25.8,71,36.7
Dismissal,11535,35.2,7003,29.7,4591,53.3,105,11.1,0,,98,68.5,6,19.3,47,24.3
Dismissal — Before issuance of complaint,11341,34.6,6613,29.0,4475,53.3,103,11.0,0,,98,68.5,6,19.3,46,23.8
