Object class,Amount (dollars)
1958 Appropriation,
Salaries,8058174
Travel,521715
Transportation of things,32984
Communication services,243797
Rents and utility services,35574
Printing and reproduction,95498
Other contractual services,232595
Supplies and materials,96754
Equipment,15858
"Grants, subsidies, and contributions",450506
"Refunds, awards, and indemnities",2870
Taxes and assessments,11896
"Total, obligations and expenditures out of 1958 appropriation",9798221
1959 Appropriation,
Supplies and materials,27336
Equipment,19037
"Total, obligations and expenditures out of 1959 appropriation",46373
"Grand total, obligations and expenditures",9844594
