Type of case,Total rerun elections / Number,Total rerun elections / Percent by type,Union certified / Number,Union certified / Percent by type,Union lost / Number,Union lost / Percent by type,Outcome of original election reversed / Number,Outcome of original election reversed / Percent of total rerun elections
All elections,190,100 0,82,43 2,108,56 8,80,42 1
RC elections,182,100 0,78,42 9,104,57 1,76,40 0
RM elections,6,100 0,4,66 7,2,33 3,4,2 1
RD elections,2,100 0,0,,2,100 0,0,
