row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Votes for no union
C. Elections in RM cases — Total RM elections,2482,1575,1498,77,0,0,147,909,172,17,0,20,551
D. Elections in RD cases — AFL-CIO,19218,4936,4936,4936,,,2879,3574,3574,,,7829,
D. Elections in RD cases — 1-union elections subtotal,21283,5621,4936,4936,45,640,3262,3866,3574,68,224,8634,
D. Elections in RD cases — 2-union elections — AFL-CIO v. AFL-CIO,265,0,0,0,,,100,100,0,,,165,
D. Elections in RD cases — Total RD elections,21548,5621,4936,4936,45,640,3262,3966,3674,68,224,8699,
