Type of litigation,Totals — all courts — Number filed,Totals — all courts — Court determinations,Totals — all courts — Concluded by Board petition,In courts of appeals — Number filed,In courts of appeals — Court determinations,In courts of appeals — Concluded by Board petition,In district courts — Number filed,In district courts — Court determinations,In district courts — Concluded by Board petition,In bankruptcy courts — Number filed,In bankruptcy courts — Court determinations,In bankruptcy courts — Concluded by Board petition
Totals — all types,43,27,6,21,18,3,18,17,1,4,2,2
NLRB-initiated actions — Total,2,2,0,0,1,0,1,1,0,1,0,0
Action by other parties — Total,41,25,6,20,17,3,16,16,1,4,2,2
