row_label,Standard Federal regions,Total elections,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Valid votes cast for unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in elections choosing unions
Region I,134,71,47,17,1,6,63,9296,8195,3841,2692,804,67,278,4354,3429
Region II,282,140,80,29,5,37,141,24713,12629,5861,3054,0,1308,203,11571,5998
Region III,251,113,65,32,5,10,138,23345,20491,11777,6759,1067,1293,2608,8764,10132
Region IV,228,93,63,24,5,1,135,22081,20049,8678,5941,1845,724,168,11371,5868
