Stage of Disposition,All C cases Number,All C cases Percent of cases closed,CA cases Number,CA cases Percent of cases closed,CB cases Number,CB cases Percent of cases closed,CC cases Number,CC cases Percent of cases closed,CD cases Number,CD cases Percent of cases closed,CE cases Number,CE cases Percent of cases closed,CP cases Number,CP cases Percent of cases closed
Total number of cases closed,17777,100.0,11779,100.0,3590,100.0,1404,100.0,475,100.0,37,100.0,492,100.0
Before issuance of complaint,15246,85.8,9761,82.9,3335,92.9,1212,86.4,451,95.0,29,78.4,458,93.1
"After issuance of complaint, before opening of hearing",1117,6.2,835,7.2,132,3.7,111,7.9,13,2.7,3,8.1,,
"After hearing opened, before issuance of trial examiner's decision",143,0.8,115,1.0,19,0.5,6,0.4,0,0,0,0,,
"After trial examiner's decision, before issuance of Board decision",145,0.8,120,1.0,19,0.5,6,0.4,,,,,,
After Board decision adopting trial examiner's decision in absence of exceptions,108,0.6,90,0.6,13,0.4,1,0,2,0.4,,,2,0.4
"After Board decision, before court decree",578,3.3,464,3.9,62,1.7,44,3.1,5,1.0,,,,
After circuit court decision,365,2.0,318,2.7,27,0.8,10,0.7,1,0,1,2.7,5,1.0
After Supreme Court action,60,0.3,45,0.4,8,0.2,5,0.4,0,0,1,2.7,1,0.2
