Standard Federal Region / State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Region I (total),2374,1931,1397,,,,,,,304,233,,62,,,
Region II (total — NJ + NY + Puerto Rico + Virgin Islands),4673,3070,2166,,,,,,,1341,750,36,127,,,66
Region III (total — DC + Maryland + Pennsylvania + Virginia + West Virginia),4059,2616,,,,,,,,640,,,104,,,
