Type of proceeding,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, or pending"
Proceedings under sec 10 (j) — (a) Against unions,1,,,1 withdrawn.
Proceedings under sec 10 (j) — (b) Against employer,0,,,
Proceedings under sec 10 (l),32,15,3,"13 pending, 1 settled."
Total,33,15,3,15.
