row_label,Method and stage of disposition,All C cases Number,All C cases Percent,CA cases Number,CA cases Percent,CB cases Number,CB cases Percent,CC cases Number,CC cases Percent,CD cases Number,CD cases Percent,CE cases Number,CE cases Percent,CP cases Number,CP cases Percent
Adopting administrative law judge's decision (no exceptions filed),Adopting administrative law judge's decision (no exceptions filed),158,0.6,141,0.8,17,0.3,9,1.0,0,0,1,1.1,1,0.2
Contested,Contested,541,2.0,433,2.5,74,1.1,21,1.0,0,0,0,0,13,1.5
Circuit Court of Appeals decree,Circuit Court of Appeals decree,335,1.3,271,1.6,46,0.7,14,0.7,1,0,2,2.2,34,27.8
Supreme Court action,Supreme Court action,33,0.1,8,0.1,29,0.4,0,0,0,0,0,0,0,0
Withdrawal,Withdrawal,9746,36.1,6887,39.6,2410,37.2,735,36.9,4,0,34,37.8,231,44.4
Dismissal,Dismissal,8546,31.7,5494,31.7,2600,39.5,322,13.5,1,0,11,12.2,118,22.7
10(k) actions (see table 7A for details of disposition),10(k) actions (see table 7A for details of disposition),605,2.2,,,,,,,605,97.4,,,,
