row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,2753,139,5.0,33,1.2,6,0.2,145,5.3,39,1.4
By type of cases:,,,,,,,,,,,
In RC cases................................................,2305,128,5.6,26,1.1,6,0.3,134,5.8,32,1.4
In RMcases..............................................,51,0,0.0,2,3.9,0,0.0,0,0.0,2,3.9
In RD cases...............................................,397,11,2.8,5,1.3,0,0.0,11,2.8,5,1.3
By type of election:,,,,,,,,,,,
Consent elections......................................,92,3,3.3,1,1.1,0,0.0,3,3.3,1,1.1
Stipulated elections...................................,2234,37,1.7,19,0.9,1,0.0,38,1.7,20,0.9
Expedited elections...................................,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,426,99,23.2,13,3.1,5,1.2,104,24.4,18,4.2
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
