Participating unions,Total elections,Percent won,Elections won by unions Total won,Elections won by unions AFL-CIO unions,Elections won by unions Teamsters,Elections won by unions Other national unions,Elections won by unions Other local unions,Elections in which no representative chosen,Employees eligible to vote Total,Employees eligible to vote In elections won Total,Employees eligible to vote In units won by AFL-CIO unions,Employees eligible to vote In units won by Teamsters,Employees eligible to vote In units won by Other national unions,Employees eligible to vote In units won by Other local unions,Employees eligible to vote In elections in which no representative chosen
AFL-CIO (1-union elections),2583,41.1,1061,1061,,,,1522,140699,46590,46590,,,,94109
Teamsters (1-union elections),1252,35.1,440,,440,,,812,41309,11640,,11640,,,29669
Other national unions (1-union),113,51.3,58,,,58,,55,6333,1718,,,1718,,4615
Other local unions (1-union),311,51.4,160,,,,160,151,15479,7206,,,,7206,8273
1-union elections — subtotal,4259,40.4,1719,1061,440,58,160,2540,203820,67154,46590,11640,1718,7206,136446
2-union elections — subtotal,168,79.2,133,52,26,11,44,35,26237,19110,5036,5995,1130,6949,7127
2-union,,,,,,,,,,,,,,,
3 (or more)-union elections — total,9,100.0,9,7,,,2,0,19455,19455,19134,,,321,0
Total representation elections,4436,42.0,1861,1320,466,69,206,2575,249512,105919,70760,17835,2848,14476,143593
