row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of eligible employees to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no representation,Eligible employees represented by unions choosing representation
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,15,3,1,1,0,1,10,1189,961,480,206,53,205,16,481,515
District of Columbia,1,1,0,0,1,0,0,108,81,37,0,0,37,0,44,0
Virginia,7,2,0,0,0,0,5,568,518,233,216,17,0,0,285,342
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,3,2,0,0,0,0,1,127,114,57,22,35,0,0,57,63
South Carolina,2,1,0,1,0,0,1,34,34,16,0,16,0,0,18,12
Georgia,9,4,4,0,0,0,5,763,668,326,286,0,0,0,350,258
Florida,14,4,2,1,0,0,10,799,756,243,127,21,0,0,493,235
South Atlantic,51,18,13,4,1,0,33,3586,3116,1386,988,177,205,16,1730,1635
Kentucky,17,3,2,0,1,0,14,958,828,282,116,40,126,0,584,294
Tennessee,20,7,4,2,0,1,13,1947,1540,631,355,223,0,53,909,818
Alabama,8,3,1,2,0,0,5,447,419,247,227,0,0,20,172,186
Mississippi,5,3,2,0,0,1,3,756,668,310,270,0,0,7,358,253
East South Central,50,16,9,3,1,2,34,4108,3455,1470,925,339,126,80,1985,1771
Arkansas,5,0,0,0,0,0,5,309,279,93,68,3,20,2,186,0
Louisiana,4,2,1,0,0,1,2,444,367,152,73,0,0,57,225,185
Oklahoma,9,0,0,0,0,0,9,849,742,141,136,0,0,5,601,0
Texas,30,4,1,1,0,2,26,2001,1789,523,134,27,76,0,1266,136
West South Central,48,6,2,1,0,3,42,3603,3177,909,437,444,0,28,2268,321
Montana,9,1,1,0,0,0,8,123,113,34,21,0,0,0,79,66
Idaho,3,0,0,0,0,0,3,137,96,10,2,0,0,8,86,0
Wyoming,1,1,1,0,0,0,0,5,5,3,3,0,0,0,2,5
Colorado,14,3,1,1,0,1,11,772,715,425,410,15,0,0,290,570
New Mexico,4,1,0,1,0,0,3,300,280,135,0,16,0,119,145,63
Arizona,5,0,0,0,0,0,5,288,252,207,29,40,0,0,45,0
Utah,3,1,0,1,0,0,2,30,9,0,0,0,0,0,21,0
