Division and State,Total elec- tions / Total,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Other national unions,Other local unions,Number of elec- tions in which no rep- resenta- tive was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Other national unions,Other local unions,Total valid votes for no union,Eligible employees in units choos- ing rep- resenta- tion
West North Central,38,8,8,0,0,30,1254,1131,558,558,0,0,573,591
South Atlantic,31,11,11,0,0,20,1583,1392,756,756,0,0,636,1028
East South Central,17,5,5,0,0,12,1263,1105,445,445,0,0,660,
West South Central,27,9,9,0,0,18,1176,1066,459,459,0,0,607,997
