row_label,Total rerun elections - Number,Total rerun elections - Percent,Union certified - Number,Union certified - Percent,No union chosen - Number,No union chosen - Percent,Outcome of original election reversed - Number,Outcome of original election reversed - Percent
All representation elections,158,100.0,47,29.7,111,70.3,45,28.5
By type of case - RC cases,146,100.0,44,30.1,102,69.9,43,29.5
RM cases,1,100.0,0,0.0,1,100.0,0,0.0
RD cases,11,100.0,3,27.3,8,72.7,2,18.2
By type of election - Consent elections,3,100.0,0,0.0,3,100.0,1,33.3
Stipulated elections,114,100.0,38,33.3,76,66.7,37,32.5
Expedited elections,0,,0,,0,,0,
Regional director-directed elections,41,100.0,9,22.0,32,78.0,7,17.1
Board-directed elections,0,,0,,0,,0,
