row_label,Division and State,Number of elections,AFL affiliates won,CIO affiliates won,Unaffiliated unions won,No union won,Employees eligible to vote,Total valid votes cast,Valid votes for AFL affiliates,Valid votes for CIO affiliates,Valid votes for Unaffiliated unions,Valid votes for No union,Employees in units choosing representation
New England — total,446,176,110,48,112,95945,87286,11429,40552,19193,16112,78148,
Middle Atlantic — total,1161,445,260,191,265,240238,218852,39088,96807,65152,22296,209496,
East North Central — total,1443,457,387,230,369,221002,195296,30360,96730,39257,28939,194169,
West North Central — total,643,281,120,85,157,62195,57410,16693,13857,11706,15154,47016,
