row_label,Cases in which formal actions taken,Total formal actions taken,RC,RM,RD,UD
"Hearings completed, total",1493,1374,1087,92,195,7
Initial hearings,1309,1205,945,91,169,6
Hearings on objections and/or challenges,184,169,142,1,26,1
"Decisions issued, total",1468,1295,1040,119,136,4
By regional directors,1359,1198,960,113,125,4
Elections directed (by RDs),1217,1069,855,89,125,2
Dismissals on record (by RDs),142,129,105,24,0,2
By Board,109,97,80,6,11,0
Transferred by regional directors for initial decision,31,27,23,1,3,0
Elections directed (transferred),14,13,10,1,2,0
Dismissals on record (transferred),17,14,13,0,1,0
Review of regional directors' decisions — Requests for review received,625,623,567,18,38,1
Withdrawn before request ruled upon,6,6,3,1,2,0
"Board action on request ruled upon, total",193,169,153,4,12,1
Granted,18,14,13,0,1,0
Denied,175,155,140,4,11,1
Remanded,0,0,0,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",78,70,57,5,8,0
Regional directors' decisions — Affirmed,35,31,26,2,3,0
Regional directors' decisions — Modified,25,22,20,1,1,0
Regional directors' decisions — Reversed,18,17,11,2,4,0
Outcome — Election directed,59,52,42,4,6,0
Outcome — Dismissals on record,19,18,15,1,2,0
