Affiliation of union holding union-shop contract,Number of polls — Total,Number of polls — Resulting in deauthorization — Number,Number of polls — Resulting in deauthorization — Percent of total,Number of polls — Resulting in continued authorization — Number,Number of polls — Resulting in continued authorization — Percent of total,Employees involved (number eligible to vote) — Total eligible,Employees involved — In polls — Resulting in deauthorization — Number,Employees involved — In polls — Resulting in deauthorization — Percent of total,Employees involved — In polls — Resulting in continued authorization — Number,Employees involved — In polls — Resulting in continued authorization — Percent of total,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for deauthorization — Number,Valid votes cast — Cast for deauthorization — Percent of total eligible
Total,103,56,54.4,47,45.6,4641,1791,38.6,2850,61.4,3787,81.6,1537,40.6
AFL-CIO unions,63,34,54.0,29,46.0,3178,1061,33.4,2117,66.6,2559,80.5,874,34.2
Teamsters,27,16,59.3,11,40.7,817,344,42.1,473,57.9,701,85.8,300,42.8
Other national unions,4,3,75.0,1,25.0,396,198,50.0,198,50.0,301,76.0,193,48.7
Other local unions,9,5,55.6,4,44.4,250,188,75.2,62,24.8,226,90.4,170,75.0
