row_label,col_1,col_2,col_3
Received-Closed-Pending _ _,1,Size of Units,17
Distribution of Intake : by Industry Geographic,5,Types of Elections Union-Shop Deauthorization Polls-Results of,11
,"6A, B",,12
Court Litigation,,Valid Votes Cast,14
Appellate Decisions,19A,Unfair Labor Practice Cases,
Enforcement and Review _,19,Received-Closed-Pending,"_ _ 1, 1A"
Injunction Litigation,20,"Allegations, Types of",2
Miscellaneous Litigation _ _,21,Disposition : by Method,7
Representation and Union,,by Stage,8
Deauthorization Cases General,,Jurisdictional Dispute Cases (Before Complaint) Formal Actions Taken,7A 3A
Received-Closed-Pending _ _,"_ 1, 1B",Remedial Actions Taken _ Size of Establishment,4
Disposition: by Method by Stage Formal Actions Taken,"10, 9",(Number of Employees) _,18
,3B,Amendment of Certification Unit Clarification Cases,and
Elections,,Received-ClosecP-Pending _ _,1
Final Outcome,13,Disposition by Method,10A
Geographic Distribution _ _ _ Industrial Distribution,"_ 15A, B 16",Formal Actions Taken,3C
Objectives/Challenges: Elections Conducted,11A,Advisory Opinions,
Disposition,11D,Received-Closed-Pending _ _,22
Party Filing,11C,Disposition by Method,22A
