Division and State,Number of elections,AFL affiliates won,CIO affiliates won,Unaffiliated unions won,No union won,Employees eligible to vote,Total valid votes cast,Valid votes for AFL affiliates,Valid votes for CIO affiliates,Valid votes for Unaffiliated unions,Valid votes for No union,Employees in units choosing representation
East South Central — total,5,1,0,0,4,200,165,15,0,6,144,15
West South Central — total,6,0,1,1,4,741,673,109,151,0,413,230
Mountain — total,1,0,0,0,1,320,249,0,30,0,219,
Pacific — total,25,5,3,1,19,1460,1259,369,170,94,626,601
Outlying areas — total,0,0,0,0,0,85,70,0,0,33,0,0
