Division and State,Total elec- tions / Total,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Other national unions,Other local unions,Number of elec- tions in which no rep- resenta- tive was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Other national unions,Other local unions,Total valid votes for no union,Eligible employees in units choos- ing rep- resenta- tion
New England,30,7,5,0,2,13,703,670,235,180,,,418,383
Middle Atlantic,63,22,18,0,4,40,2864,2121,886,603,,,1235,861
East North Central,114,35,33,0,2,79,5088,4463,2141,1984,,,2324,2114
