Type of election,All R elections — Total elections,All R elections — Withdrawn or dismissed before runoff,All R elections — Resulting in a rerun or runoff,All R elections — Resulting in certification,RC elections — Total elections,RC elections — Withdrawn or dismissed before runoff,RC elections — Resulting in a rerun or runoff,RC elections — Resulting in certification,RM elections — Total elections,RM elections — Withdrawn or dismissed before runoff,RM elections — Resulting in a rerun or runoff,RM elections — Resulting in certification,RD elections — Total elections,RD elections — Withdrawn or dismissed before runoff,RD elections — Resulting in a rerun or runoff,RD elections — Resulting in certification
All types,4642,33,89,4520,3600,30,75,3495,171,2,1,168,871,1,13,857
All types — Rerun required,,,67,,,,57,,,,0,,,,10,
All types — Runoff required,,,22,,,,18,,,,1,,,,3,
Consent elections,123,2,2,119,74,2,2,71,3,0,1,2,46,0,0,46
Stipulated elections,3707,21,61,3625,2885,20,53,2812,129,0,0,129,693,1,8,684
Regional director-directed,780,9,21,750,621,8,17,596,35,1,0,33,124,0,3,121
Board-directed,25,1,4,20,19,1,3,15,0,0,0,0,6,0,1,5
Expedited — Sec 8(b)(7)(C),7,0,1,6,1,0,0,1,4,0,0,4,2,0,1,1
