row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,3474,153,4.4,75,2.2,17,0.5,170,4.9,92,2.6
By type of cases:,,,,,,,,,,,
In RC cases................................................,3050,136,4.5,68,2.2,16,0.5,152,5.0,84,2.8
In RMcases..............................................,34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
In RD cases...............................................,390,17,4.4,7,1.8,1,0.3,18,4.6,8,2.1
By type of election:,,,,,,,,,,,
Consent elections......................................,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,2967,100,3.4,51,1.7,9,0.3,109,3.7,60,2.0
Expedited elections...................................,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,489,53,10.8,24,4.9,8,1.6,61,12.5,32,6.5
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
