row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes cast for no unions,Eligible employees in elections won by unions
Maine,11,7,3,1,,3,4,281,267,153,69,25,57,,116,222
New England (Division total),178,95,46,31,8,10,83,11841,4929,3199,893,,,5629,4555,
Middle Atlantic (Division total),620,309,205,65,13,26,311,36818,16081,9732,2774,499,1576,14539,17374,
East North Central (Division total),837,422,256,112,24,30,415,47694,21161,14256,3573,1457,1875,21673,17911,
West North Central (Division total),315,166,55,,,16,149,12151,5291,3506,1460,,294,,4101,
