row_label,col_1,col_2,col_3,col_4
5-UA-197,Standard Lime & Stone Co.,13-UA-474,"Tropic Aire, Inc. Triangle Manufacturing","Tropic Aire, Inc. Triangle Manufacturing"
5-UA-280,Standard Lime Stone Co.,18-UA-140,Co.,Co.
5-UA-281,Standard Lime & Stone Co.,36-13A-630 6-UA-320,Triangle Milling Co. Triangle Railways Co.,Triangle Milling Co. Triangle Railways Co.
21-UA-573,Standard Oil Co.,9-UA-5,Tr-City Common Car-,Tr-City Common Car-
13-UA-536,Standard Wire & Steel Works.,,riers Trucking Associa- tion.,riers Trucking Associa- tion.
21-UA-225,Stanyer & Edmundson. Co.,13-UA-628,"Tropic-Aire, Inc.","Tropic-Aire, Inc."
8-UA-130,"Starr, A. E.,",4-TJA-541,Truscon Steel Co.,Truscon Steel Co.
36-UA-421 35-UA-87,"Stebco, Inc. Stedmans Foundry & Machine Works, Inc.",13-UA-732,Union Motor Coach Ter- minal Co.,Union Motor Coach Ter- minal Co.
14-UA-1395,Steelwold Equipment Co.,1-UA-1624,Union Street Railway Co.,Union Street Railway Co.
2-UA-1796,"Stoddard, H. C.",2-UA-3143,"Unique Balance Co., Inc.","Unique Balance Co., Inc."
31-UA-154,Stolper Steel Products Co.,15-UA-14,"United Broadcasting Co., Inc.","United Broadcasting Co., Inc."
8-UA-433,"Stowe-Fuller Refractories Co., The.",36-UA-150 32-UA-18,United Oil Co. United States Potash Co.,United Oil Co. United States Potash Co.
9-11A-360,Superior Die & Engineer- ing Co.,21-UA-486,United States Gypsum Co.,United States Gypsum Co.
18-UA432,Superior Metal Products Co.,33-UA-17 33-UA-19,United States Potash Co. United States Potash,United States Potash Co. United States Potash
8-UA-116,Sun Rubber Co.,17-UA-355,Co. Universal Atlas Portland Cement Co.,Co. Universal Atlas Portland Cement Co.
9-UA-362,Surface Combustion Co.,17-UA-21,Universal Manufacturing Co.,Universal Manufacturing Co.
21-UA-418 2-UA-1798,Tastee Beverage Co. Taylor Durant Co.,18HUA-268,Urban Telephone Co.,Urban Telephone Co.
2-UA-1799,Taylor-Durant Co.,,,
18-UA-650 2-UA-3237,"Tension Envelope Co. Texas Co., The.",2-UA-1779,V. P. Home Life Insur- ance Co.,V. P. Home Life Insur- ance Co.
4-UA-295,"Texas Co., The. Texas Co., The.",4-UA-365,WCAU Inc.,WCAU Inc.
7-UA-490 7-UA-494,"Texas Co., The.",2-UA-1800,"Wachter, Carl 0., Insur- ance Department.","Wachter, Carl 0., Insur- ance Department."
13-UA-659 12-UA-1149,"Texas Co., The. Texas Co., The.",1-13A-334,"WEirehouse 13, Inc. Wasatch Oil Co.","WEirehouse 13, Inc. Wasatch Oil Co."
,"Texas Co., The.",20-UA-391 1-UA-846,,
14-UA-1136 21-UA-742,"Texas Co., The.",18-UA-805,"Waterbury Iron Works Watkins, J. R. Co.","Waterbury Iron Works Watkins, J. R. Co."
21-UA-744,Texas Co.,,Machinery Co. Western Door and,Machinery Co. Western Door and
21-UA-895 21-UA-896,"Texas Co., The. Texas Co., The.",36-UA-395,wood Corp.,wood Corp.
21-UA-897,"Texas Co., The.",,Ply- Co.,Ply- Co.
,"Texas Co., The.",,Foundry Co.,Foundry Co.
",21-UA-899",,,Western Westinghouse,Western Westinghouse
21-UA-900,"Texas Co., The.",36-UA-373,Electric,Electric
21-UA-901,"Texas Co., The._",9-UA-369,Corp.,Corp.
21-UA-902,"Texas Co., The. Texas Co., The.",36-UA-686,"Radio tions, Inc.","Radio tions, Inc."
21-UA- 903,,,Sta-,Sta-
35-UA-215,"Texas Co., The. Textron-Southern,",36-UA-111,Weyerhaeuser Timber Co.,Weyerhaeuser Timber Co.
10-UA-30 1-UA-15,"Inc. Thames Broadcasting 'Corp., The.",,"White, Wm. A. & Sons. Bros.","White, Wm. A. & Sons. Bros."
,Tidewater Associated,,Printing Co.,Printing Co.
,Oil Co.,18-UA-801 36-UA-372,Woodbury & Co. Woodbury Hardware,Woodbury & Co. Woodbury Hardware
20-UA-126,Tide Water Associated Oil-Co.,36-UA-371,Co. Worthington Pump &,Co. Worthington Pump &
20-UA-127,Tidewater Associated Oil Co.,2-UA-1479,Machinery Corp.,Machinery Corp.
20-UA-128,Tide Water Associated,36-UA-290,"Yosak, John, Logging Co.","Yosak, John, Logging Co."
36-UA-55,Oil Co.,,Electric Sign Co.,Electric Sign Co.
,Tire Dealers' Association of Portland.,,Sup-,Sup-
,,,Machinery & ply Co.,Machinery & ply Co.
15-UA-104,Todd-Johnson Dry,,,
,"Docks, Inc.",36-UA-370,,
,,,Zidell,Zidell
,,,Young,Young
,,,Westinghouse,Westinghouse
,,,Widder Winona,Widder Winona
,,,Western Foundry,Western Foundry
,,20-UA-786,,
20-UA-113,,,,
21-UA-898,,,,
,,4-UA-29,,
,,2-UA-1864,,
,,,20-UA-462,20-UA-462
,,,Wesco,Wesco
,,13-UA-853,,
,"Texas Co., The.",,,
