Division and State,Total elections Total,Won by AFL-CIO unions,Won by Teamsters,Won by Other national unions,Won by Other local unions,No representative chosen,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions Total,Valid votes for unions AFL-CIO,Valid votes for unions Teamsters,Valid votes for unions Other national unions,Valid votes for unions Other local unions,Total votes for no union,Total employees in elections showing representation
South Atlantic state,,,,,,,,,,,,,,,,
South Atlantic (subtotal),848,447,303,109,29,6,401,76072,68608,34762,26755,4891,2052,1353,34162,30371
East South Central state,,,,,,,,,,,,,,,,
East South Central (subtotal),516,279,186,63,21,9,237,59945,55341,29410,21844,5649,1649,268,25931,
