row_label,Subsection,Number of cases showing specific allegations,Percent of total cases
A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a) - Total cases,A. CHARGES FILED AGAINST EMPLOYERS UNDER SEC. 8(a) - Total cases,13601,100.0
8(a)(1),8(a)(1),1064,7.8
8(a)(1)(2),8(a)(1)(2),200,1.4
8(a)(1)(3),8(a)(1)(3),7359,54.1
Other 8(a),various,,
8(a)(1),8(a)(1),13601,100.0
8(a)(2),8(a)(2),892,6.5
8(a)(3),8(a)(3),9290,65.3
8(a)(4),8(a)(4),331,2.4
8(a)(5),8(a)(5),4489,33.0
B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) - Total cases,B. CHARGES FILED AGAINST UNIONS UNDER SEC. 8(b) - Total cases,7330,100.0
8(b)(1),8(b)(1),2300,31.4
8(b)(2),8(b)(2),178,2.4
8(b)(3),8(b)(3),366,5.0
8(b)(4),8(b)(4),2290,31.2
8(b)(7),8(b)(7),409,5.5
Other 8(b),various,,
B1. ANALYSIS OF 8(b)(4) - Total cases,B1. ANALYSIS OF 8(b)(4) - Total cases,2290,100.0
8(b)(4)(A),8(b)(4)(A),65,2.8
8(b)(4)(B),8(b)(4)(B),1429,62.4
Other 8(b)(4),various,,
B2. ANALYSIS OF 8(b)(7) - Total cases,B2. ANALYSIS OF 8(b)(7) - Total cases,409,100.0
C. CHARGES FILED UNDER SEC. 8(e) - Total cases,C. CHARGES FILED UNDER SEC. 8(e) - Total cases,107,100.0
Against unions alone,Against unions alone,76,71.0
Against employers alone,Against employers alone,,
Against unions and employers,Against unions and employers,,
