Stage of disposition,All ULP cases — Number,All ULP cases — Per cent of cases closed,CA — Number,CA — Per cent of cases closed,CB — Number,CB — Per cent of cases closed,CC — Number,CC — Per cent of cases closed,CD — Number,CD — Per cent of cases closed,CE — Number,CE — Per cent of cases closed,CG — Number,CG — Per cent of cases closed,CP — Number,CP — Per cent of cases closed
Total number of cases closed,32750,100.0,22785,100.0,8302,100.0,938,100.0,278,100.0,143,100.0,31,100.0,193,100.0
Before issuance of complaint,28696,87.6,19528,85.7,7835,93.5,614,65.5,273,98.2,120,83.9,27,87.1,175,90.7
"After issuance of complaint, before opening of hearing",2706,8.3,2082,9.1,382,4.6,212,22.6,0,,12,8.4,3,9.7,12,6.2
"After hearing opened, before issuance of administrative law judge's decision",161,0.5,142,0.6,8,0.1,8,0.9,0,,1,0.7,0,,3,1.6
"After administrative law judge's decision, before issuance of Board decision",246,0.8,218,1.0,20,0.2,5,0.5,0,,1,0.7,0,,2,1.0
"After Board order adopting administrative law judge's decision, before circuit court decree",380,1.2,317,1.4,44,0.5,11,1.2,0,,5,3.5,0,,3,1.6
"After circuit court decree, before Supreme Court action",275,0.8,246,1.1,11,0.1,11,1.2,0,,1,0.7,0,,2,1.0
After Supreme Court action,2,,0,,2,,0,,0,,0,,0,,0,
