Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
New England — Division subtotal (RD),32,12,6,5,0,1,20,2623,2300,1341,1179,124,0,38,959,1565
Middle Atlantic — Division subtotal (NY+NJ+PA RD),180,51,35,8,2,6,129,5659,5140,2447,1860,411,150,263,2693,2584
East North Central — Division subtotal (IL+IN+OH+MI+WI RD),235,65,33,16,4,12,170,7000,6200,3100,2200,500,150,250,3100,3500
West North Central — Division subtotal (IA+MN+MO+ND+SD+NE+KS RD),112,23,16,7,0,0,89,3604,2874,1000,668,326,0,6,1874,978
Per-state RD,,,,,,,,,,,,,,,,
