Division and State,Total,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Unaffiliated unions,Valid votes cast for / No union,Employees in units choosing representation
Total,6354,2170,1393,2791,450930,403310,158046,81647,163617,229283
New England,334,129,65,166,38742,35164,10374,4917,11233,13556
Middle Atlantic,1303,380,299,625,127193,106153,41972,28366,33777,70272
East North Central,1463,488,335,630,87253,79820,31008,16334,32614,44094
West North Central,583,199,132,252,29718,23407,9053,4418,9476,13141
