Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,Type of situation — CA — Number of situations,Type of situation — CA — Percent by size class,Type of situation — CB — Number of situations,Type of situation — CB — Percent by size class,Type of situation — CC — Number of situations,Type of situation — CC — Percent by size class,Type of situation — CD — Number of situations,Type of situation — CD — Percent by size class,Type of situation — CE — Number of situations,Type of situation — CE — Percent by size class,Type of situation — CG — Number of situations,Type of situation — CG — Percent by size class,Type of situation — CP — Number of situations,Type of situation — CP — Percent by size class,Type of situation — CA-CB combinations — Number of situations,Type of situation — CA-CB combinations — Percent by size class,Type of situation — Other C combinations — Number of situations,Type of situation — Other C combinations — Percent by size class
Totals (all sizes),21172,100.0,,15042,100.0,5360,100.0,295,100.0,89,100.0,38,100.0,75,100.0,1,100.0,165,100.0,108,100.0
Under 10,1481,7.0,7.0,1055,7.0,393,7.3,24,8.1,6,6.7,1,2.6,1,1.3,0,0.0,1,0.6,0,0.0
