row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3470,139,4.0,60,1.7,24,0.7,163,4.7,84,2.4
By type of case:,,,,,,,,,,,
In RC cases,2905,127,4.4,51,1.8,20,0.7,147,5.1,71,2.4
", In RMcases",58,1,1.7,2,3.4,0,,1,1.7,2,3.4
In RD cases,507,11,2.2,7,1.4,4,0.8,15,3.0,11,2.2
By type of election: ',,,,,,,,,,,
Consent elections,5,0,,1,20.0,0,,0,,1,20.0
Stipulated elections,2936,101,3.4,44,1.5,18,0.6,119,4.1,62,2.1
Expedited elections,1,0,,0,,0,,0,,0,
Regional Director-directed elections .-,521,38,7.3,15,2.9,6,1.2,44,8.4,21,4.0
Board-directed elections,7,0,,0,,0,,0,,0,
