row_label,col_1,col_2,col_3,col_4
Under sec 10 0),,,,
(a) Against unions,4,4,0,
(b) Against employers,2,0,1,"1 alleged illegal, activity suspended"
Under sec 10 (1),66,30,3,"17 settled, 6 alleged illegal, activity suspended, 6 withdrawn, 5 pending."
Total,72,34,4,35
