Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Maine (RD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire (RD),3,0,0,0,0,0,3,55,52,11,11,0,0,0,41,0
Vermont (RD),1,1,1,0,0,0,0,25,25,17,17,0,0,0,8,0
Massachusetts (RD),6,3,1,2,0,0,3,143,115,50,41,6,3,0,65,25
Rhode Island (RD),3,1,1,0,0,0,2,29,26,10,10,0,0,0,16,13
Connecticut (RD),8,2,4,1,0,0,6,2361,1463,808,804,4,0,0,655,2286
New England — Division subtotal (RD),21,7,7,3,0,0,14,2615,1684,896,872,21,0,3,730,2362
New York (RD),42,10,8,1,0,1,32,1314,647,178,53,0,0,67,264,553
New Jersey (RD),24,4,0,3,0,1,20,1510,1005,448,187,175,86,0,154,339
Pennsylvania (RD),50,14,11,3,0,0,36,1923,1638,699,754,38,0,41,740,1706
Middle Atlantic — Division subtotal (RD),116,32,21,9,0,4,84,4797,3957,1794,1347,174,120,153,2163,1706
Ohio (RD),45,11,8,2,0,1,34,1595,1388,605,494,96,0,16,783,661
Indiana (RD),23,5,4,0,0,1,18,1031,968,460,395,35,0,38,508,530
Illinois (RD),60,9,3,1,0,5,51,2338,1880,681,649,99,0,64,1232,880
Michigan (RD),56,10,8,2,0,0,46,1089,928,350,233,80,11,28,578,553
Wisconsin (RD),35,5,3,0,0,2,30,1107,928,350,233,77,7,33,578,553
East North Central — Division subtotal (RD),219,41,31,7,0,6,178,8172,7155,3055,2461,350,17,227,4100,3131
Iowa (RD),14,5,1,4,0,0,9,308,287,80,57,23,0,0,118,207
Minnesota (RD),32,9,8,1,0,0,23,1002,943,400,338,18,0,0,541,486
Missouri (RD),31,7,6,1,0,0,24,1077,919,406,323,33,0,50,513,650
North Dakota (RD),4,0,0,0,0,0,4,112,102,29,29,0,0,0,73,78
South Dakota (RD),3,0,0,0,0,0,3,193,176,81,81,0,0,0,95,116
Nebraska (RD),1,0,0,0,0,0,1,26,26,0,0,0,0,0,26,26
Kansas (RD),7,1,1,0,0,0,6,431,336,133,115,0,0,18,203,327
West North Central — Division subtotal (RD),91,22,15,7,0,0,69,3149,2746,1170,945,233,0,68,1567,1876
