row_label,col_1,col_2
West Virginia Pulp & Paper Company,31,37
"Weyerhaeuser Timber Company, Klamath Falls, Oreg",30,124
"Weyerhaeuser Timber Company, Klamath Falls, Oreg",30,124
"Weyerhaeuser Timber Company, Klamath Falls, Oreg",30,124
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Weyerhaeuser Timber Company, Longview Branch",29,101
"Wheeling Corrugating Co., Louisville, Ky",27,182
"Wheeling Corrugating Co., Detroit, Mich",27,193
"Wheeling Corrugating Co., Long Island City, N. Y",28,50
Wheeling Steel Corporation,27,6
White Star Lumber Company,25,48
Willamette Iron and Steel Corporation,30,70
"Wilson & Company, New York, N. Y",26,126
"Wilson & Company, d/b/a J. Eavenson & Sons",25,103
Wilson-Jones & Company,26,85
,28,
Willits Shoe Co,,152
"Woolworth Company, F. W",25,127
World Steel Products Corporation,27,132
"Wurlitzer Company, The Rudolph",32,35
Wyandotte Transportation Company,,45
,25,
"Yale & Towne Mfg. Co., Sager Lock Works and Barrow Lock Works",,
Divisions,27,161
"Yankee Lines, Inc",25,70
York Broadcasting Company,27,84
Youngstown Steel Door Co,31,91
CASES DECIDED DURING THE FISCAL YEAR 1940-41,,
IIA. REPRESENTATION OASES DECIDED ON STIPULATION,Vol.,No.
"A. C. Sparkplug Company, a Michigan corporation",28,36
American Can Company,27,153
"American Wire Fabrics Corporation, et al",32,88
"Baron & Co., Inc., H",28,141
"Basca Manufacturing Company, Inc",31,27
Bay City Box Company,31,57
Bemis Bros. Bag Co,29 26,4 50
"Berkeley Steel Construction Company, Inc",,
Carbide and Carbon Chemicals Corporation,30,151
Catalin Corporation of America,27,60
Continental Roll & Steel Foundry Company,31,177
Cowles Tool Company,29,155
"Electric Auto-Lite Company, The, Alemite Die Casting & Manufactur- ing Division of",29,87
"Electro-Motive Corporation, a Delaware Corporation",29 27,71 183
Firestone Rubber & Metal Products Company,,
"Formica Insulation Company, The",31,176
General Electric Company General Motors Sales Corporation,32 30,63
"General Motors Sales Corporation General Motors Sales Corporation, Buick Motor Division, Flint",30,170 170
Re- tail Stores,30,90
"General Motors Corporation, Delco Brake Division General Motors Corporation, Detroit Diesel Engine Division",31,83
,31,81
