Division and State,Total elections Total,Won by AFL-CIO unions,Won by Teamsters,Won by Other national unions,Won by Other local unions,No representative chosen,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions Total,Valid votes for unions AFL-CIO,Valid votes for unions Teamsters,Valid votes for unions Other national unions,Valid votes for unions Other local unions,Total votes for no union,Total employees in elections showing representation
New England state,,,,,,,,,,,,,,,,
New England (subtotal),428,242,152,72,13,186,,33387,29194,14283,10754,1787,1038,712,14911,13367
Middle Atlantic state,,,,,,,,,,,,,,,,
Middle Atlantic (subtotal),1340,710,300,222,56,43,550,77534,70470,45576,27286,6419,8196,3675,34894,45284
East North Central state,,,,,,,,,,,,,,,,
East North Central (subtotal),1853,1069,770,324,60,12,713,115512,67884,40005,9815,8532,3116,45111,46189,
West North Central state,,,,,,,,,,,,,,,,
West North Central (subtotal),675,411,235,128,6,,264,37680,33591,14440,4995,1736,604,19151,9367,
